threshold,accuracy,precision,recall,f1,fpr,fnr,TP,TN,FP,FN
0.1,0.9872,0.9789,0.9905,0.9847,0.0151,0.0095,10393,14577,224,100
0.15,0.9893,0.9843,0.99,0.9871,0.0112,0.01,10388,14635,166,105
0.2,0.9909,0.9888,0.9894,0.9891,0.008,0.0106,10382,14683,118,111
0.25,0.9918,0.9913,0.9888,0.9901,0.0061,0.0112,10376,14710,91,117
0.3,0.9923,0.9932,0.9883,0.9907,0.0048,0.0117,10370,14730,71,123
0.35,0.9929,0.9948,0.9881,0.9914,0.0036,0.0119,10368,14747,54,125
0.4,0.993,0.9955,0.9877,0.9916,0.0032,0.0123,10364,14754,47,129
0.45,0.9932,0.9962,0.9873,0.9918,0.0026,0.0127,10360,14762,39,133
0.5,0.9933,0.9967,0.9871,0.9919,0.0023,0.0129,10358,14767,34,135
0.55,0.9936,0.9979,0.9867,0.9922,0.0015,0.0133,10353,14779,22,140
0.6,0.9936,0.9985,0.986,0.9922,0.0011,0.014,10346,14785,16,147
0.65,0.9932,0.9992,0.9845,0.9918,0.0005,0.0155,10330,14793,8,163
0.7,0.9928,0.9993,0.9832,0.9912,0.0005,0.0168,10317,14794,7,176
0.75,0.9921,0.9993,0.9817,0.9904,0.0005,0.0183,10301,14794,7,192
0.8,0.9911,0.9997,0.9788,0.9892,0.0002,0.0212,10271,14798,3,222
0.85,0.9903,0.9998,0.9768,0.9882,0.0001,0.0232,10250,14799,2,243
0.9,0.988,0.9999,0.9711,0.9853,0.0001,0.0289,10190,14800,1,303
