label,url_length,hostname_length,path_length,query_length,fragment_length,num_dots,num_hyphens,num_digits,num_special_chars,num_slashes,num_question_marks,num_equals,num_ampersands,num_percent_encoded,num_at_symbols,num_subdomains,hostname_entropy,path_entropy,has_ip,is_https,is_shortener,has_punycode,has_port,has_userinfo,suspicious_tld,suspicious_word_count,brand_word_count,long_url,very_long_url
1,30,9,13,0,0,2,1,0,7,3,0,0,0,0,0,0,3.169925001442312,3.5465935642949384,0,1,0,0,0,0,0,0,0,0,0
0,22,14,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.2359263506290334,0.0,0,1,0,0,0,0,0,0,0,0,0
0,25,17,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.381580488309164,0.0,0,1,0,0,0,0,0,0,0,0,0
0,22,14,0,0,0,1,1,0,5,2,0,0,0,0,0,0,3.182005814760214,0.0,0,1,0,0,0,0,0,0,0,0,0
1,46,7,2,28,0,3,1,0,14,6,1,1,0,0,0,1,2.2359263506290326,1.0,0,1,0,0,0,0,0,0,0,0,0
0,27,19,0,0,0,1,1,0,5,2,0,0,0,0,0,0,3.7216117239698994,0.0,0,1,0,0,0,0,0,0,0,0,0
1,59,43,8,0,0,3,1,24,8,3,0,0,0,0,0,1,4.060472755790457,3.0,0,1,0,0,0,0,0,0,0,0,0
0,22,14,0,0,0,1,1,0,5,2,0,0,0,0,0,0,3.4677201004745006,0.0,0,1,0,0,0,0,0,0,0,0,0
1,179,43,128,0,0,3,1,39,8,3,0,0,0,0,0,1,4.169541498485638,4.379943427972634,0,1,0,0,0,0,0,0,0,1,1
0,20,12,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.2516291673878226,0.0,0,1,0,0,0,0,0,0,0,0,0
1,23,8,7,0,0,2,0,0,6,3,0,0,0,0,0,1,2.5,2.807354922057604,0,1,0,0,0,0,0,0,0,0,0
0,22,14,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.521640636343319,0.0,0,1,0,0,0,0,0,0,0,0,0
1,40,16,16,0,0,2,0,2,8,5,0,0,0,0,0,1,3.202819531114783,3.327819531114783,0,1,0,0,0,0,0,0,1,0,0
1,34,25,1,0,0,2,0,0,6,3,0,0,0,0,0,1,3.479079570624174,0.0,0,1,0,0,0,0,0,0,0,0,0
1,39,30,1,0,0,2,0,0,6,3,0,0,0,0,0,1,3.8980685120588383,0.0,0,1,0,0,0,0,0,0,0,0,0
0,30,22,0,0,0,2,0,0,5,2,0,0,0,0,0,1,3.7887549139935026,0.0,0,1,0,0,0,0,0,0,0,0,0
1,45,27,10,0,0,2,2,1,8,3,0,0,0,0,0,1,3.810081020521731,2.9219280948873623,0,1,0,0,0,0,0,0,0,0,0
0,30,22,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.51602764126623,0.0,0,1,0,0,0,0,0,0,0,0,0
1,32,23,1,0,0,2,0,4,6,3,0,0,0,0,0,1,3.8820451081368628,0.0,0,1,0,0,0,0,0,0,0,0,0
1,32,20,5,0,0,2,1,0,8,4,0,0,0,0,0,1,3.446439344671015,1.9219280948873623,0,0,0,0,0,0,1,0,0,0,0
0,16,8,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.75,0.0,0,1,0,0,0,0,0,0,0,0,0
0,22,14,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.3248629576173574,0.0,0,1,0,0,0,0,0,0,0,0,0
0,19,11,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.7321588913645707,0.0,0,1,0,0,0,0,0,0,0,0,0
1,23,8,7,0,0,2,0,0,6,3,0,0,0,0,0,1,2.5,2.521640636343318,0,1,0,0,0,0,0,0,0,0,0
0,17,9,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.94770277922009,0.0,0,1,0,0,0,0,0,0,0,0,0
1,41,32,1,0,0,2,2,0,8,3,0,0,0,0,0,1,3.9681390622295662,0.0,0,1,0,0,0,0,0,0,0,0,0
0,20,12,0,0,0,1,1,0,5,2,0,0,0,0,0,0,3.084962500721156,0.0,0,1,0,0,0,0,0,0,0,0,0
0,14,6,0,0,0,1,0,1,4,2,0,0,0,0,0,0,2.584962500721156,0.0,0,1,0,0,0,0,0,0,0,0,0
0,19,11,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.095795255000934,0.0,0,1,0,0,0,0,0,0,0,0,0
0,22,14,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.6644977792004623,0.0,0,1,0,0,0,0,0,0,0,0,0
1,42,33,1,0,0,2,0,0,6,3,0,0,0,0,0,1,3.9683403313485464,0.0,0,1,0,0,0,0,0,0,0,0,0
0,19,11,0,0,0,1,0,2,4,2,0,0,0,0,0,0,3.277613436819116,0.0,0,1,0,0,0,0,0,0,0,0,0
1,22,7,7,0,0,1,0,1,5,3,0,0,0,0,0,0,2.807354922057604,2.521640636343318,0,1,0,0,0,0,0,0,0,0,0
0,20,12,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.2516291673878226,0.0,0,1,0,0,0,0,0,0,0,0,0
0,26,18,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.5724312513221195,0.0,0,1,0,0,0,0,0,0,0,0,0
0,20,12,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.188721875540867,0.0,0,1,0,0,0,0,0,0,0,0,0
0,20,12,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.2516291673878226,0.0,0,1,0,0,0,0,0,0,0,0,0
1,38,30,1,0,0,2,1,8,7,3,0,0,0,0,0,1,4.21506101220307,0.0,0,0,0,0,0,0,1,0,0,0,0
0,17,9,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.94770277922009,0.0,0,1,0,0,0,0,0,0,0,0,0
0,27,19,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.5368867237421666,0.0,0,1,0,0,0,0,0,0,0,0,0
1,21,6,7,0,0,1,1,0,6,3,0,0,0,0,0,0,2.584962500721156,2.5216406363433186,0,1,0,0,0,0,0,0,0,0,0
0,22,14,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.3248629576173574,0.0,0,1,0,0,0,0,0,0,0,0,0
1,47,38,1,0,0,2,2,6,8,3,0,0,0,0,0,1,4.020843553362251,0.0,0,1,0,0,0,0,0,0,0,0,0
0,22,14,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.378783493486176,0.0,0,1,0,0,0,0,0,0,0,0,0
1,30,14,8,0,0,1,1,0,6,3,0,0,0,0,0,0,3.6644977792004623,2.5,0,1,0,0,0,0,0,0,0,0,0
1,21,6,7,0,0,1,1,0,6,3,0,0,0,0,0,0,2.584962500721156,2.807354922057604,0,1,0,0,0,0,0,0,0,0,0
0,23,15,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.4565647621309536,0.0,0,1,0,0,0,0,0,0,0,0,0
1,33,25,1,0,0,2,0,8,6,3,0,0,0,0,0,1,4.053660689688185,0.0,0,0,0,0,0,0,0,0,0,0,0
0,17,9,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.169925001442312,0.0,0,1,0,0,0,0,0,0,0,0,0
1,40,26,6,0,0,2,2,0,8,3,0,0,0,0,0,1,3.8441065448145375,2.584962500721156,0,1,0,0,0,0,0,0,0,0,0
1,380,15,108,248,0,6,4,36,48,14,2,8,6,0,0,1,2.973557262275185,5.447178711263293,0,1,0,0,0,0,0,0,1,1,1
0,19,11,0,0,0,1,0,4,4,2,0,0,0,0,0,0,2.1867043459100244,0.0,0,1,0,0,0,0,0,0,0,0,0
0,19,11,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.9139770731827523,0.0,0,1,0,0,0,0,0,0,0,0,0
1,40,26,6,0,0,2,0,0,6,3,0,0,0,0,0,1,3.7962176025900556,2.584962500721156,0,1,0,0,0,0,0,0,0,0,0
0,29,21,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.5351745656359026,0.0,0,1,0,0,0,0,0,0,0,0,0
1,35,9,18,0,0,1,0,2,5,3,0,0,0,0,0,0,3.169925001442312,3.7254805569978675,0,1,0,0,0,0,0,0,0,0,0
0,18,10,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.121928094887362,0.0,0,1,0,0,0,0,0,0,0,0,0
0,25,17,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.572469458770136,0.0,0,1,0,0,0,0,0,0,0,0,0
1,51,42,1,0,0,2,4,3,10,3,0,0,0,0,0,1,4.350068910616443,0.0,0,1,0,0,0,0,0,0,0,0,0
0,27,19,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.6818808028034016,0.0,0,1,0,0,0,0,0,0,0,0,0
0,30,22,0,0,0,2,0,0,5,2,0,0,0,0,0,1,3.265583322887733,0.0,0,1,0,0,0,0,0,0,0,0,0
1,38,29,1,0,0,2,0,0,6,3,0,0,0,0,0,1,3.702471512219747,0.0,0,1,0,0,0,0,0,0,0,0,0
0,23,15,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.3232314287976203,0.0,0,1,0,0,0,0,0,0,0,0,0
1,83,74,1,0,0,3,0,5,7,3,0,0,0,0,0,2,4.561974946733883,0.0,0,1,0,0,0,0,1,0,0,1,0
0,20,12,0,0,0,2,0,0,5,2,0,0,0,0,0,1,3.2516291673878226,0.0,0,1,0,0,0,0,0,0,0,0,0
1,33,24,1,0,0,2,0,0,6,3,0,0,0,0,0,1,3.7201755214643453,0.0,0,1,0,0,0,0,0,0,0,0,0
0,28,20,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.721928094887362,0.0,0,1,0,0,0,0,0,0,0,0,0
0,20,12,0,0,0,2,0,0,5,2,0,0,0,0,0,1,3.084962500721156,0.0,0,1,0,0,0,0,0,0,0,0,0
0,23,15,0,0,0,1,1,0,5,2,0,0,0,0,0,0,3.139572261986723,0.0,0,1,0,0,0,0,0,0,0,0,0
1,63,45,10,0,0,3,4,4,11,3,0,0,0,0,0,2,4.311421641246035,2.9219280948873623,0,1,0,0,0,0,0,0,0,0,0
1,22,7,7,0,0,1,0,1,5,3,0,0,0,0,0,0,2.807354922057604,2.807354922057604,0,1,0,0,0,0,0,0,0,0,0
1,51,21,22,0,0,3,0,2,8,4,0,0,0,0,0,2,3.5944656369614516,4.277613436819114,0,1,0,0,0,0,0,0,0,0,0
0,29,21,0,0,0,1,1,0,5,2,0,0,0,0,0,0,3.725650756112093,0.0,0,1,0,0,0,0,0,0,0,0,0
0,16,8,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.0,0.0,0,1,0,0,0,0,0,0,0,0,0
0,20,12,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.8553885422075336,0.0,0,1,0,0,0,0,0,0,0,0,0
1,76,25,1,41,0,2,1,22,11,3,1,2,1,0,0,1,4.023465189601646,0.0,0,1,0,0,0,0,0,0,0,1,0
0,26,18,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.6835423624332306,0.0,0,1,0,0,0,0,0,0,0,0,0
0,18,10,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.9219280948873623,0.0,0,1,0,0,0,0,0,0,0,0,0
0,20,12,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.084962500721156,0.0,0,1,0,0,0,0,0,0,0,0,0
1,59,21,30,0,0,2,2,6,8,3,0,0,0,0,0,1,3.5944656369614525,4.440223928941853,0,1,0,0,0,0,0,0,0,0,0
0,21,13,0,0,0,1,0,2,4,2,0,0,0,0,0,0,3.7004397181410926,0.0,0,1,0,0,0,0,0,0,0,0,0
1,22,7,7,0,0,1,0,1,5,3,0,0,0,0,0,0,2.807354922057604,2.807354922057604,0,1,0,0,0,0,0,0,0,0,0
0,16,8,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.75,0.0,0,1,0,0,0,0,0,0,0,0,0
1,84,15,61,0,0,2,0,10,9,6,0,0,0,0,0,1,2.973557262275185,5.033116230970041,0,1,0,0,0,0,0,0,1,1,0
0,13,5,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.321928094887362,0.0,0,1,0,0,0,0,0,0,0,0,0
1,28,19,1,0,0,2,0,0,6,3,0,0,0,0,0,1,3.2210972500579564,0.0,0,1,0,0,0,0,0,0,0,0,0
0,17,9,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.725480556997868,0.0,0,1,0,0,0,0,0,0,0,0,0
1,38,19,11,0,0,3,1,0,8,3,0,0,0,0,0,1,3.511085408180427,3.459431618637298,0,1,0,0,0,0,0,0,0,0,0
0,18,10,0,0,0,1,0,0,4,2,0,0,0,0,0,0,1.8954618442383218,0.0,0,1,0,0,0,0,0,0,0,0,0
1,178,15,108,46,0,3,4,17,23,7,1,4,3,0,0,1,2.973557262275185,5.538607442568176,0,1,0,0,0,0,0,0,1,1,1
0,18,10,0,0,0,1,0,2,4,2,0,0,0,0,0,0,3.321928094887362,0.0,0,1,0,0,0,0,0,0,0,0,0
0,28,20,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.4219280948873623,0.0,0,1,0,0,0,0,0,0,0,0,0
1,46,37,1,0,0,2,4,0,10,3,0,0,0,0,0,1,4.121219243831913,0.0,0,1,0,0,0,0,0,0,0,0,0
0,21,13,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.238901256602631,0.0,0,1,0,0,0,0,0,0,0,0,0
1,41,32,1,0,0,2,2,0,8,3,0,0,0,0,0,1,3.952819531114783,0.0,0,1,0,0,0,0,0,0,0,0,0
0,28,20,0,0,0,1,1,0,5,2,0,0,0,0,0,0,3.6841837197791882,0.0,0,1,0,0,0,0,0,0,0,0,0
0,23,15,0,0,0,2,0,0,5,2,0,0,0,0,0,1,3.5068905956085183,0.0,0,1,0,0,0,0,0,0,0,0,0
1,51,21,22,0,0,3,0,1,8,4,0,0,0,0,0,2,3.5944656369614516,4.095795255000932,0,1,0,0,0,0,0,0,0,0,0
1,84,15,61,0,0,2,1,7,11,6,0,0,0,0,0,1,2.973557262275185,5.270660903030253,0,1,0,0,0,0,0,0,1,1,0
0,20,12,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.418295834054489,0.0,0,1,0,0,0,0,0,0,0,0,0
1,24,8,8,0,0,1,0,3,6,4,0,0,0,0,0,0,3.0,2.75,0,1,0,0,0,0,0,0,0,0,0
1,26,19,0,0,0,2,0,2,5,2,0,0,0,0,0,1,3.9321380397593733,0.0,0,0,0,0,0,0,0,0,0,0,0
0,18,10,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.721928094887362,0.0,0,1,0,0,0,0,0,0,0,0,0
1,24,15,1,0,0,2,0,0,6,3,0,0,0,0,0,1,3.5068905956085183,0.0,0,1,0,0,0,0,1,0,0,0,0
1,34,25,1,0,0,2,0,0,6,3,0,0,0,0,0,1,3.863465189601646,0.0,0,1,0,0,0,0,0,0,0,0,0
1,24,15,1,0,0,1,1,0,6,3,0,0,0,0,0,0,3.640223928941851,0.0,0,1,0,0,0,0,0,0,0,0,0
0,24,16,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.452819531114783,0.0,0,1,0,0,0,0,0,0,0,0,0
0,19,11,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.2776134368191165,0.0,0,1,0,0,0,0,0,0,0,0,0
1,42,33,1,0,0,2,3,0,9,3,0,0,0,0,0,1,3.813206528961766,0.0,0,1,0,0,0,0,0,0,0,0,0
1,34,25,1,0,0,2,1,0,7,3,0,0,0,0,0,1,3.669275070710713,0.0,0,1,0,0,0,0,0,0,0,0,0
0,22,14,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.4677201004745006,0.0,0,1,0,0,0,0,0,0,0,0,0
1,22,6,8,0,0,1,0,1,5,3,0,0,0,0,0,0,2.584962500721156,3.0,0,1,1,0,0,0,0,0,0,0,0
0,31,23,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.7622673906514943,0.0,0,1,0,0,0,0,0,0,0,0,0
1,33,24,1,0,0,2,1,0,7,3,0,0,0,0,0,1,3.736440501696145,0.0,0,1,0,0,0,0,0,0,0,0,0
1,22,7,7,0,0,1,0,0,5,3,0,0,0,0,0,0,2.807354922057604,2.807354922057604,0,1,0,0,0,0,0,0,0,0,0
0,25,17,0,0,0,1,0,3,4,2,0,0,0,0,0,0,3.8521687236032816,0.0,0,1,0,0,0,0,0,0,0,0,0
0,23,15,0,0,0,1,1,0,5,2,0,0,0,0,0,0,3.189898095464287,0.0,0,1,0,0,0,0,1,0,0,0,0
0,19,11,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.277613436819116,0.0,0,1,0,0,0,0,0,0,0,0,0
1,16,7,1,0,0,1,0,0,5,3,0,0,0,0,0,0,2.2359263506290326,0.0,0,1,0,0,0,0,0,0,0,0,0
0,17,9,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.725480556997868,0.0,0,1,0,0,0,0,0,0,0,0,0
1,42,28,6,0,0,2,1,0,7,3,0,0,0,0,0,1,3.7534343861887844,2.584962500721156,0,1,0,0,0,0,0,0,0,0,0
1,35,26,1,0,0,2,0,5,6,3,0,0,0,0,0,1,4.2098671219040344,0.0,0,1,0,0,0,0,0,0,0,0,0
1,23,8,7,0,0,2,0,1,6,3,0,0,0,0,0,1,2.5,2.807354922057604,0,1,0,0,0,0,0,0,0,0,0
1,190,15,108,58,0,3,1,20,23,7,1,4,3,0,0,1,2.973557262275185,5.569579460789901,0,1,0,0,0,0,0,0,1,1,1
